  arms=['real', 'shuffled', 'same'] seeds=[0, 1, 2] steps=6000 ckpt_every=300 n_measure=16
  [seed 0] rules=13 corpus=1672 B heldout=74
  [shuffled s2] step  5400 | CE 2.542 | acc 0.000 | rho_gw +0.035 | bimod 0.450 | effrank 11.4 | 69s
  [shuffled s2] step  5700 | CE 2.539 | acc 0.000 | rho_gw +0.036 | bimod 0.443 | effrank 10.0 | 73s
  [shuffled s2] step  6000 | CE 2.550 | acc 0.000 | rho_gw +0.037 | bimod 0.454 | effrank 12.5 | 76s
  [same s2] step     0 | CE nan | acc 0.000 | rho_gw -0.002 | bimod 0.396 | effrank 27.3 | 45s
  [same s2] step   300 | CE 0.032 | acc 0.014 | rho_gw +0.026 | bimod 0.348 | effrank 28.2 | 52s
  [same s2] step   600 | CE 0.015 | acc 0.014 | rho_gw +0.050 | bimod 0.417 | effrank 55.1 | 59s
  [same s2] step   900 | CE 0.013 | acc 0.014 | rho_gw +0.000 | bimod 0.302 | effrank 5.4 | 66s
  [same s2] step  1200 | CE 0.013 | acc 0.014 | rho_gw -0.003 | bimod 0.332 | effrank 4.0 | 73s
  [same s2] step  1500 | CE 0.012 | acc 0.014 | rho_gw +0.009 | bimod 0.360 | effrank 10.5 | 81s
  [same s2] step  1800 | CE 0.012 | acc 0.014 | rho_gw +0.004 | bimod 0.380 | effrank 4.5 | 87s
  [same s2] step  2100 | CE 0.012 | acc 0.014 | rho_gw +0.052 | bimod 0.418 | effrank 52.8 | 95s
  [same s2] step  2400 | CE 0.012 | acc 0.014 | rho_gw +0.019 | bimod 0.350 | effrank 14.9 | 102s
  [same s2] step  2700 | CE 0.012 | acc 0.014 | rho_gw +0.009 | bimod 0.377 | effrank 4.3 | 109s
  [same s2] step  3000 | CE 0.012 | acc 0.014 | rho_gw +0.008 | bimod 0.356 | effrank 7.5 | 115s
  [same s2] step  3300 | CE 0.012 | acc 0.014 | rho_gw +0.012 | bimod 0.367 | effrank 7.8 | 122s
  [same s2] step  3600 | CE 0.012 | acc 0.014 | rho_gw +0.010 | bimod 0.373 | effrank 5.5 | 129s
  [same s2] step  3900 | CE 0.012 | acc 0.014 | rho_gw +0.011 | bimod 0.387 | effrank 5.3 | 136s
  [same s2] step  4200 | CE 0.012 | acc 0.014 | rho_gw +0.004 | bimod 0.365 | effrank 4.3 | 142s
  [same s2] step  4500 | CE 0.012 | acc 0.014 | rho_gw +0.012 | bimod 0.404 | effrank 6.5 | 149s
  [same s2] step  4800 | CE 0.012 | acc 0.014 | rho_gw +0.025 | bimod 0.111 | effrank 12.4 | 156s
  [same s2] step  5100 | CE 0.012 | acc 0.027 | rho_gw +0.015 | bimod 0.140 | effrank 9.9 | 163s
  [same s2] step  5400 | CE 0.012 | acc 0.014 | rho_gw +0.015 | bimod 0.413 | effrank 5.5 | 170s
  [same s2] step  5700 | CE 0.012 | acc 0.014 | rho_gw +0.011 | bimod 0.392 | effrank 6.8 | 177s
  [same s2] step  6000 | CE 0.012 | acc 0.014 | rho_gw +0.011 | bimod 0.382 | effrank 6.5 | 184s

  ==== FROZEN-BASIS GRADIENT TOMOGRAPHY ====
  [real] rho_gw [0.0674, 0.0028] bimod [0.3313, 0.0068] effrank [24.2377, 1.9456] (base [27.057, 2.818]) | frozen_flip [0.0075, 0.0006] active_flip [0.0057, 0.0004] | acc [0.2477, 0.0446]
  [shuffled] rho_gw [0.0407, 0.0025] bimod [0.4432, 0.0093] effrank [13.686, 1.6992] (base [18.7397, 1.9244]) | frozen_flip [0.0028, 0.0001] active_flip [0.0065, 0.0002] | acc [0.0, 0.0]
  [same] rho_gw [0.01, 0.0013] bimod [0.371, 0.0075] effrank [6.0213, 0.3996] (base [28.0833, 1.3891]) | frozen_flip [0.0007, 0.0001] active_flip [0.0005, 0.0] | acc [0.0225, 0.023]

  VERDICT (real vs shuffled null):
   A photograph  : effrank(real)-effrank(shuf) = 10.5517 (want < 0)
   B bimodal     : rho(real)-rho(shuf) = 0.0267 (want > 0)
   C route-around: active/frozen flip real=0.76 vs shuf=2.321 (want real>>1)

  wrote /Users/mwhitford/src/verbum/results/gd-frozen-basis/verdict_multiseed.json  (1089.8s)
